schema_version,seed,generated_requests,admitted_requests,blocked_requests,acceptance_ratio_pct,continuity_resolved_requests,continuity_satisfied_requests,continuity_failed_requests,active_excluded_requests,continuity_satisfaction_ratio_pct,migration_volume_total_mb,migration_mb_per_admitted_sfc,downtime_ms_per_admitted_sfc,migration_count,route_update_count,handoff_count,mean_e2e_delay_ms,p95_e2e_delay_ms,mean_decision_runtime_ms,p95_decision_runtime_ms,mean_candidate_runtime_ms,mean_policy_runtime_ms,mean_cpu_utilization_pct,mean_bandwidth_utilization_pct,mean_reward,mean_training_loss,decision_count,complete_fallback_count,candidate_paths_examined,algorithm,config_digest,mobility_mode,network_nodes,network_physical_links,arrival_rate_req_s,maximum_speed_m_s,experiment,x_name,x_value,checkpoint_sha256
2,31,32,32,0,100.0,17,16,1,15,94.11764705882354,316.505874992792,9.89080859352475,10.0,4,72,49,45.87101182068052,63.177449498266114,4.227742950495051,8.0562592,2.62973600990099,1.43315300990099,55.74347028423991,11.197895345647504,0.1954846282491208,,303,0,5201,stg_ddqn,d2ca6d88eed1377a,synthetic,12,19,0.45,30.0,traffic,arrival_rate_req_s,0.45,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,58,45,13,77.58620689655173,26,23,3,19,88.46153846153847,2976.634881875997,66.14744181946661,40.888888888888886,23,54,71,47.85970247050771,75.9964571165875,21.781879091764704,21.1991101999998,21.657612870588235,0.0045980635294117,80.82641391060434,21.28083382235384,0.1139175734091468,,425,24,14413,dlapm,3e1919f3f16f2692,synthetic,12,19,0.65,30.0,traffic,arrival_rate_req_s,0.65,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,58,47,11,81.03448275862068,27,25,2,20,92.5925925925926,537.3374260011723,11.432711191514304,10.212765957446807,6,69,73,47.75902060344364,74.04457590467513,22.196573376651983,9.137857199999988,22.05429382599119,0.0021155550660792,79.32113987615166,17.930373733640472,0.1700894946682511,,454,18,13210,im,3e1919f3f16f2692,synthetic,12,19,0.65,30.0,traffic,arrival_rate_req_s,0.65,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,58,47,11,81.03448275862068,27,26,1,20,96.29629629629628,1006.3520813182736,21.4117464110271,17.02127659574468,10,135,73,48.988578846524064,74.33950421101756,21.653316078260872,10.801392899999836,19.949519143478263,1.5621954630434782,80.37597137591762,24.83846245464523,0.1716896216479456,,460,25,14994,stg_ddqn,3e1919f3f16f2692,synthetic,12,19,0.65,30.0,traffic,arrival_rate_req_s,0.65,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,78,52,26,66.66666666666667,29,29,0,23,100.0,2295.795016435781,44.14990416222656,24.615384615384617,16,69,76,47.48829370265747,66.87249105322014,35.683990664556966,113.90529364999972,35.57096292827005,0.0037426624472573,87.01189635329229,23.232613358018018,0.1178272758369041,,474,40,21233,dlapm,274d73468f6c0722,synthetic,12,19,0.85,30.0,traffic,arrival_rate_req_s,0.85,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,78,54,24,69.23076923076923,33,31,2,21,93.93939393939394,0.0,0.0,0.0,0,84,86,48.7397878949769,72.10102693552234,36.22386971153846,101.9442200499978,36.09683471923077,0.0021224769230769,87.12601464130816,23.83125725844015,0.1501585225860776,,520,41,23417,im,274d73468f6c0722,synthetic,12,19,0.85,30.0,traffic,arrival_rate_req_s,0.85,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,78,52,26,66.66666666666667,30,29,1,22,96.66666666666669,1558.898769027459,29.97882248129729,23.07692307692308,15,127,82,49.02473202124833,76.34715885891681,41.896812116935486,140.6304575,40.2685423326613,1.4913756653225807,86.53608004843575,24.70786646752221,0.1382817824349491,,496,42,23301,stg_ddqn,274d73468f6c0722,synthetic,12,19,0.85,30.0,traffic,arrival_rate_req_s,0.85,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,99,46,53,46.464646464646464,27,26,1,19,96.29629629629628,3404.646584247791,74.0140561792998,31.30434782608696,18,59,71,49.54593899767245,79.9457188667306,54.720108217564864,395.52938,54.597141724550895,0.003580499001996,92.2268187798076,28.451312195312838,0.0394593230539973,,501,71,33235,dlapm,56c54d6ab310a507,synthetic,12,19,1.05,30.0,traffic,arrival_rate_req_s,1.05,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,99,52,47,52.525252525252526,30,26,4,22,86.66666666666667,645.4327974872591,12.41216918244729,6.153846153846154,4,75,78,47.804585819354266,73.61326432333895,52.069987951086965,289.2935865499999,51.96276448369565,0.0017233677536231,90.66200582414878,25.116597837058872,0.0799255462930028,,552,68,32360,im,56c54d6ab310a507,synthetic,12,19,1.05,30.0,traffic,arrival_rate_req_s,1.05,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,99,54,45,54.54545454545455,32,25,7,22,78.125,1088.9926700275685,20.16653092643645,16.296296296296298,11,116,79,49.350075793737645,73.27373023744673,55.09166972545455,342.8494698999999,53.41966176181818,1.5308261436363635,90.19034299930613,29.33657854546009,0.0645020189030417,,550,76,34453,stg_ddqn,56c54d6ab310a507,synthetic,12,19,1.05,30.0,traffic,arrival_rate_req_s,1.05,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
