experiment,x_name,x_value,algorithm,metric,n,mean,ci95_half_width,ci95_low,ci95_high
mobility,maximum_speed_m_s,50.0,im,mean_bandwidth_utilization_pct,3,20.32740736582565,1.1129615138213595,19.21444585200429,21.44036887964701
mobility,maximum_speed_m_s,50.0,stg_ddqn,acceptance_ratio_pct,3,83.91413363162842,4.423719876205488,79.49041375542294,88.3378535078339
mobility,maximum_speed_m_s,50.0,stg_ddqn,continuity_satisfaction_ratio_pct,3,84.23973727422003,21.11535168890723,63.12438558531281,105.35508896312726
mobility,maximum_speed_m_s,50.0,stg_ddqn,migration_mb_per_admitted_sfc,3,25.284416256133166,28.452669304572144,-3.1682530484389773,53.73708556070531
mobility,maximum_speed_m_s,50.0,stg_ddqn,downtime_ms_per_admitted_sfc,3,21.266749123891984,25.782498661102952,-4.515749537210969,47.04924778499493
mobility,maximum_speed_m_s,50.0,stg_ddqn,mean_e2e_delay_ms,3,50.79307969542478,9.978444191803222,40.81463550362156,60.771523887228
mobility,maximum_speed_m_s,50.0,stg_ddqn,p95_e2e_delay_ms,3,75.41855375525797,18.171636240209537,57.24691751504844,93.59018999546751
mobility,maximum_speed_m_s,50.0,stg_ddqn,mean_decision_runtime_ms,3,21.177779877828097,23.05758783696292,-1.8798079591348227,44.23536771479102
mobility,maximum_speed_m_s,50.0,stg_ddqn,p95_decision_runtime_ms,3,13.956552666666667,16.410063966671686,-2.453511300005019,30.366616633338353
mobility,maximum_speed_m_s,50.0,stg_ddqn,mean_cpu_utilization_pct,3,79.22020994929152,3.2825592083873953,75.93765074090412,82.50276915767891
mobility,maximum_speed_m_s,50.0,stg_ddqn,mean_bandwidth_utilization_pct,3,23.390129243690506,3.7273951542342094,19.662734089456297,27.117524397924715
scalability,nodes,8.0,dlapm,acceptance_ratio_pct,3,57.15185273963482,9.95104941371755,47.20080332591727,67.10290215335237
scalability,nodes,8.0,dlapm,continuity_satisfaction_ratio_pct,3,90.24122807017544,7.936603326655068,82.30462474352036,98.17783139683051
scalability,nodes,8.0,dlapm,migration_mb_per_admitted_sfc,3,58.05830876807363,97.52153151735226,-39.46322274927863,155.5798402854259
scalability,nodes,8.0,dlapm,downtime_ms_per_admitted_sfc,3,48.4710701484895,85.65211400145105,-37.18104385296155,134.12318414994056
scalability,nodes,8.0,dlapm,mean_e2e_delay_ms,3,47.368358286605805,8.944397146453877,38.42396114015193,56.31275543305968
scalability,nodes,8.0,dlapm,p95_e2e_delay_ms,3,66.0717635476085,14.385356698669517,51.68640684893898,80.45712024627801
scalability,nodes,8.0,dlapm,mean_decision_runtime_ms,3,3.402652328217767,2.249330479167692,1.1533218490500752,5.651982807385458
scalability,nodes,8.0,dlapm,p95_decision_runtime_ms,3,13.910282116666664,13.101840443249616,0.8084416734170485,27.01212255991628
scalability,nodes,8.0,dlapm,mean_cpu_utilization_pct,3,87.14407735961724,1.9389525044913896,85.20512485512586,89.08302986410862
scalability,nodes,8.0,dlapm,mean_bandwidth_utilization_pct,3,22.73964834976662,8.386012953380828,14.353635396385794,31.12566130314745
scalability,nodes,8.0,im,acceptance_ratio_pct,3,58.886073348628564,9.197273973115495,49.68879937551307,68.08334732174406
scalability,nodes,8.0,im,continuity_satisfaction_ratio_pct,3,88.97488820089438,13.437773838449582,75.5371143624448,102.41266203934397
scalability,nodes,8.0,im,migration_mb_per_admitted_sfc,3,8.512788876773218,29.486150395874724,-20.973361519101505,37.998939272647945
scalability,nodes,8.0,im,downtime_ms_per_admitted_sfc,3,5.521885521885522,15.232769167296777,-9.710883645411254,20.7546546891823
scalability,nodes,8.0,im,mean_e2e_delay_ms,3,47.64406341979153,9.745951171298856,37.89811224849267,57.390014591090384
scalability,nodes,8.0,im,p95_e2e_delay_ms,3,68.92809294948758,19.81431752998943,49.11377541949815,88.742410479477
scalability,nodes,8.0,im,mean_decision_runtime_ms,3,2.9856818937099763,1.2070440282110566,1.7786378654989197,4.192725921921033
scalability,nodes,8.0,im,p95_decision_runtime_ms,3,14.407330866666657,10.05305550242575,4.354275364240907,24.460386369092404
scalability,nodes,8.0,im,mean_cpu_utilization_pct,3,86.63219562110574,1.5604432001708133,85.07175242093493,88.19263882127655
scalability,nodes,8.0,im,mean_bandwidth_utilization_pct,3,22.832735737352134,2.083256437564134,20.749479299788,24.91599217491627
scalability,nodes,8.0,stg_ddqn,acceptance_ratio_pct,3,59.470868670265986,11.711900142141436,47.75896852812455,71.18276881240742
scalability,nodes,8.0,stg_ddqn,continuity_satisfaction_ratio_pct,3,94.16666666666667,15.62902369843944,78.53764296822723,109.79569036510611
scalability,nodes,8.0,stg_ddqn,migration_mb_per_admitted_sfc,3,24.062758594840876,36.442543468057075,-12.379784873216199,60.505302062897954
scalability,nodes,8.0,stg_ddqn,downtime_ms_per_admitted_sfc,3,19.9006279006279,10.281558062340476,9.619069838287423,30.182185962968376
scalability,nodes,8.0,stg_ddqn,mean_e2e_delay_ms,3,47.75120525668492,10.971014787705368,36.780190468979555,58.72222004439028
scalability,nodes,8.0,stg_ddqn,p95_e2e_delay_ms,3,69.41172632517863,17.415735466722822,51.99599085845581,86.82746179190146
scalability,nodes,8.0,stg_ddqn,mean_decision_runtime_ms,3,3.895714565101383,0.7853381049985485,3.1103764601028345,4.681052670099931
scalability,nodes,8.0,stg_ddqn,p95_decision_runtime_ms,3,11.292640599999986,6.894683153550608,4.397957446449378,18.187323753550594
scalability,nodes,8.0,stg_ddqn,mean_cpu_utilization_pct,3,86.84673051712691,1.283721346493011,85.5630091706339,88.13045186361992
scalability,nodes,8.0,stg_ddqn,mean_bandwidth_utilization_pct,3,24.87682209382791,4.7827906257819555,20.094031468045955,29.659612719609868
scalability,nodes,12.0,dlapm,acceptance_ratio_pct,3,80.9321340653738,11.02150506300466,69.91062900236915,91.95363912837846
scalability,nodes,12.0,dlapm,continuity_satisfaction_ratio_pct,3,87.20831891746434,2.8523309039774447,84.3559880134869,90.06064982144179
scalability,nodes,12.0,dlapm,migration_mb_per_admitted_sfc,3,62.76479914866628,18.042071545797338,44.72272760286894,80.80687069446361
scalability,nodes,12.0,dlapm,downtime_ms_per_admitted_sfc,3,46.282690854119416,23.363935899891587,22.91875495422783,69.64662675401101
scalability,nodes,12.0,dlapm,mean_e2e_delay_ms,3,49.57550003707366,9.150300969869965,40.42519906720369,58.72580100694363
scalability,nodes,12.0,dlapm,p95_e2e_delay_ms,3,74.93679017109868,17.35498622909137,57.58180394200731,92.29177640019005
scalability,nodes,12.0,dlapm,mean_decision_runtime_ms,3,18.37994258525842,11.537726511991734,6.842216073266686,29.917669097250155
scalability,nodes,12.0,dlapm,p95_decision_runtime_ms,3,8.042435216666656,2.5967413338183554,5.4456938828483,10.639176550485011
scalability,nodes,12.0,dlapm,mean_cpu_utilization_pct,3,78.82195099589045,4.413406072486758,74.4085449234037,83.2353570683772
scalability,nodes,12.0,dlapm,mean_bandwidth_utilization_pct,3,20.949149343662377,3.0728794024171497,17.876269941245226,24.022028746079528
scalability,nodes,12.0,im,acceptance_ratio_pct,3,83.25114999600497,13.569909601378772,69.6812403946262,96.82105959738374
scalability,nodes,12.0,im,continuity_satisfaction_ratio_pct,3,91.05228530515888,3.6614603991347714,87.39082490602411,94.71374570429364
scalability,nodes,12.0,im,migration_mb_per_admitted_sfc,3,14.239149755312388,6.243091602827069,7.996058152485319,20.482241358139458
scalability,nodes,12.0,im,downtime_ms_per_admitted_sfc,3,10.238989212706358,1.810055290129685,8.428933922576672,12.049044502836043
scalability,nodes,12.0,im,mean_e2e_delay_ms,3,50.038175155743524,8.351677094147524,41.686498061596,58.38985224989105
scalability,nodes,12.0,im,p95_e2e_delay_ms,3,75.29402065884801,18.479655623638422,56.81436503520959,93.77367628248643
scalability,nodes,12.0,im,mean_decision_runtime_ms,3,17.070678857507676,11.038539089912673,6.0321397675950035,28.109217947420348
scalability,nodes,12.0,im,p95_decision_runtime_ms,3,8.218487866666644,13.021983494928943,-4.803495628262299,21.24047136159559
scalability,nodes,12.0,im,mean_cpu_utilization_pct,3,78.65969058752341,2.3068921688126203,76.35279841871079,80.96658275633604
scalability,nodes,12.0,im,mean_bandwidth_utilization_pct,3,18.695667731659668,5.54648050924209,13.149187222417577,24.24214824090176
scalability,nodes,12.0,stg_ddqn,acceptance_ratio_pct,3,82.08155935273011,8.64488182678454,73.43667752594557,90.72644117951465
